#Software: IIS Advanced Logging Module
#Version: 1.0
#Start-Date: 2011-09-16 13:39:23.056
#Fields:  Date-UTC Time-UTC Client-IP UserName SiteName ComputerName Server-IP Method URI-Stem URI-Querystring Status Win32Status BytesSent BytesReceived Time-Taken ServerPort User-Agent Cookie Referer Protocol Version Host Substatus
2011-09-16 13:39:44.338 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/modernizr-1.7.min.js - 304 0 327 505 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.338 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.unobtrusive-ajax.min.js - 304 0 339 515 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.353 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.validate.min.js - 304 0 331 507 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.369 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/themes/base/jquery-ui.css - 304 0 334 524 31 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.369 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.validate.unobtrusive.min.js - 304 0 347 519 31 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.385 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/prettyPhoto.css - 304 0 320 516 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.385 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.prettyPhoto.js - 304 0 328 507 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.400 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery-ui-1.8.16.min.js - 304 0 330 507 62 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.400 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jQuery.tmpl.min.js - 304 0 324 504 31 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:39:44.447 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /favicon.ico - 404 0 3510 344 0 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "-" "-" "localhost:2035" 0
2011-09-16 13:40:07.306 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET / - 200 0 1398 419 781 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "-" "-" "localhost:2035" 0
2011-09-16 13:40:07.337 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery-1.6.2.min.js - 304 0 326 503 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.322 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/Site.css - 304 0 311 508 0 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.353 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/modernizr-1.7.min.js - 304 0 327 505 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.353 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.unobtrusive-ajax.min.js - 304 0 339 515 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.353 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.validate.min.js - 304 0 331 507 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.369 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery-ui-1.8.16.min.js - 304 0 330 507 0 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.384 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jQuery.tmpl.min.js - 304 0 324 504 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.384 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.prettyPhoto.js - 304 0 328 507 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.384 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/prettyPhoto.css - 304 0 320 516 15 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.400 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Scripts/jquery.validate.unobtrusive.min.js - 304 0 347 519 62 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.416 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /Content/themes/base/jquery-ui.css - 304 0 334 524 46 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "http://localhost:2035/" "-" "localhost:2035" 0
2011-09-16 13:40:07.447 127.0.0.1 "-" "OPENPAC" "-" 127.0.0.1 GET /favicon.ico - 404 0 3510 344 0 2035 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.220 Safari/535.1" "wmxMblVstr=False" "-" "-" "localhost:2035" 0
